,Year,City,Stop Name,Stop Abbrev,Total Stops
0,1998,Oakland,12th Street / Oakland City Center,12,2790954.0
1,1998,San Francisco,16th Street Mission,16,2046608.0
2,1998,Oakland,19th Street Oakland,19,1873381.0
3,1998,San Francisco,24th Street Mission,24,2820975.0
4,1998,Antioch,Antioch,AN,0.0
5,1998,Berkeley,Ashby,AS,1030474.0
6,1998,San Jose,Berryessa / North San José,BE,0.0
7,1998,San Leandro,Bayfair,BF,1224505.0
8,1998,Berkeley,Berkeley,BK,2905487.0
9,1998,San Francisco,Balboa Park,BP,2941288.0
10,1998,San Francisco,Civic Center,CC,3569202.0
11,1998,Oakland,Coliseum,CL,1620272.0
12,1998,Colma,Colma,CM,1674755.0
13,1998,Concord,Concord,CN,1458456.0
14,1998,Castro Valley,Castro Valley,CV,467425.0
15,1998,Daly City,Daly City,DC,1870131.0
16,1998,Dublin/Pleasanton,Dublin/Pleasanton,ED,1299491.0
17,1998,San Francisco,Embarcadero,EM,6654490.0
18,1998,El Cerrito,El Cerrito Del Norte,EN,2098350.0
19,1998,El Cerrito,El Cerrito Plaza,EP,1082708.0
20,1998,Fremont,Fremont,FM,1589558.0
21,1998,Oakland,Fruitvale,FV,1916108.0
22,1998,San Francisco,Glen Park,GP,1816231.0
23,1998,Hayward,Hayward,HY,1221088.0
24,1998,Lafayette,Lafayette,LF,777238.0
25,1998,Oakland,Lake Merritt,LM,1064884.0
26,1998,Oakland,MacArthur,MA,1488473.0
27,1998,Millbrae,Millbrae,MB,0.0
28,1998,Milpitas,Milpitas,ML,0.0
29,1998,San Francisco,Montgomery Street,MT,8753158.0
30,1998,Berkeley,North Berkeley,NB,931497.0
31,1998,Concord,North Concord,NC,393497.0
32,1998,Oakland,Oakland International Airport,OA,0.0
33,1998,Orinda,Orinda,OR,723217.0
34,1998,Oakland,West Oakland,OW,1013361.0
35,1998,Pittsburg,Pittsburg Center,PC,0.0
36,1998,Pleasant Hill,Pleasant Hill,PH,1569571.0
37,1998,San Francisco,Powell Street,PL,5706363.0
38,1998,Richmond,Richmond,RM,845182.0
39,1998,Oakland,Rockridge,RR,1231864.0
40,1998,San Bruno,San Bruno,SB,0.0
41,1998,Hayward,South Hayward,SH,738345.0
42,1998,San Leandro,San Leandro,SL,1221988.0
43,1998,San Francisco,San Francisco International Airport,SO,0.0
44,1998,South San Francisco,South San Francisco,SS,0.0
45,1998,Union City,Union City,UC,1011062.0
46,1998,Walnut Creek,Walnut Creek,WC,1535896.0
47,1998,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
48,1998,Pittsburg,Pittsburg/Bay Point,WP,1069487.0
49,1998,Fremont,Warm Springs,WS,0.0
50,1999,Oakland,12th Street / Oakland City Center,12,3166603.0
51,1999,San Francisco,16th Street Mission,16,2481898.0
52,1999,Oakland,19th Street Oakland,19,1972883.0
53,1999,San Francisco,24th Street Mission,24,3246345.0
54,1999,Antioch,Antioch,AN,0.0
55,1999,Berkeley,Ashby,AS,1144230.0
56,1999,San Jose,Berryessa / North San José,BE,0.0
57,1999,San Leandro,Bayfair,BF,1354931.0
58,1999,Berkeley,Berkeley,BK,2958931.0
59,1999,San Francisco,Balboa Park,BP,3236254.0
60,1999,San Francisco,Civic Center,CC,4165340.0
61,1999,Oakland,Coliseum,CL,1868681.0
62,1999,Colma,Colma,CM,1834621.0
63,1999,Concord,Concord,CN,1609457.0
64,1999,Castro Valley,Castro Valley,CV,534482.0
65,1999,Daly City,Daly City,DC,2060048.0
66,1999,Dublin/Pleasanton,Dublin/Pleasanton,ED,1468926.0
67,1999,San Francisco,Embarcadero,EM,7721809.0
68,1999,El Cerrito,El Cerrito Del Norte,EN,2238095.0
69,1999,El Cerrito,El Cerrito Plaza,EP,1124305.0
70,1999,Fremont,Fremont,FM,1651748.0
71,1999,Oakland,Fruitvale,FV,2030417.0
72,1999,San Francisco,Glen Park,GP,2020673.0
73,1999,Hayward,Hayward,HY,1264119.0
74,1999,Lafayette,Lafayette,LF,816843.0
75,1999,Oakland,Lake Merritt,LM,1177877.0
76,1999,Oakland,MacArthur,MA,1655610.0
77,1999,Millbrae,Millbrae,MB,0.0
78,1999,Milpitas,Milpitas,ML,0.0
79,1999,San Francisco,Montgomery Street,MT,9336330.0
80,1999,Berkeley,North Berkeley,NB,989714.0
81,1999,Concord,North Concord,NC,421059.0
82,1999,Oakland,Oakland International Airport,OA,0.0
83,1999,Orinda,Orinda,OR,756706.0
84,1999,Oakland,West Oakland,OW,1163822.0
85,1999,Pittsburg,Pittsburg Center,PC,0.0
86,1999,Pleasant Hill,Pleasant Hill,PH,1709104.0
87,1999,San Francisco,Powell Street,PL,6313909.0
88,1999,Richmond,Richmond,RM,932945.0
89,1999,Oakland,Rockridge,RR,1320772.0
90,1999,San Bruno,San Bruno,SB,0.0
91,1999,Hayward,South Hayward,SH,784422.0
92,1999,San Leandro,San Leandro,SL,1340185.0
93,1999,San Francisco,San Francisco International Airport,SO,0.0
94,1999,South San Francisco,South San Francisco,SS,0.0
95,1999,Union City,Union City,UC,1083550.0
96,1999,Walnut Creek,Walnut Creek,WC,1590084.0
97,1999,Dublin/Pleasanton,West Dublin/Pleasanton,WD,0.0
98,1999,Pittsburg,Pittsburg/Bay Point,WP,1187452.0
99,1999,Fremont,Warm Springs,WS,0.0
100,2000,Oakland,12th Street / Oakland City Center,12,3542436.0
101,2000,San Francisco,16th Street Mission,16,2779321.0
102,2000,Oakland,19th Street Oakland,19,2223880.0
103,2000,San Francisco,24th Street Mission,24,3529701.0
104,2000,Antioch,Antioch,AN,0.0
105,2000,Berkeley,Ashby,AS,1294967.0
106,2000,San Jose,Berryessa / North San José,BE,0.0
107,2000,San Leandro,Bayfair,BF,1528167.0
108,2000,Berkeley,Berkeley,BK,3259374.0
109,2000,San Francisco,Balboa Park,BP,3467538.0
110,2000,San Francisco,Civic Center,CC,4945449.0
111,2000,Oakland,Coliseum,CL,2230623.0
112,2000,Colma,Colma,CM,2031790.0
113,2000,Concord,Concord,CN,1717095.0
114,2000,Castro Valley,Castro Valley,CV,624084.0
115,2000,Daly City,Daly City,DC,2295387.0
